Title,Link,Additional Resource 1,Additional Resource 2,Additional Resource 3,Venue,Year,Abstract,Authors,
Enabling Multimodal Mobile Interfaces for Musical Performance,https://www.nime.org/proc/roberts2013/index.html ,,,,NIME,2013,"We present research that extends the scope of the mobile application Control, aprototyping environment for defining multimodal interfaces that controlreal-time artistic and musical performances. Control allows users to rapidlycreate interfaces employing a variety of modalities, including: speechrecognition, computer vision, musical feature extraction, touchscreen widgets,and inertial sensor data. Information from these modalities can be transmittedwirelessly to remote applications. Interfaces are declared using JSON and canbe extended with JavaScript to add complex behaviors, including the concurrentfusion of multimodal signals. By simplifying the creation of interfaces viathese simple markup files, Control allows musicians and artists to make novelapplications that use and combine both discrete and continuous data from thewide range of sensors available on commodity mobile devices.","Charles Roberts, Angus Forbes, and Tobias HÃ¶llerer",
A Physical Intelligent Instrument using Recurrent Neural Networks,https://www.nime.org/proc/nss2019/index.html ,,,,NIME,2019,"This paper describes a new intelligent interactive instrument, based on an embedded computing platform, where deep neural networks are applied to interactive music generation. Even though using neural networks for music composition is not uncommon, a lot of these models tend to not support any form of user interaction. We introduce a self-contained intelligent instrument using generative models, with support for real-time interaction where the user can adjust high-level parameters to modify the music generated by the instrument. We describe the technical details of our generative model and discuss the experience of using the system as part of musical performance.","Torgrim Rudland NÃ¦ss, and Charles Patrick Martin",
Mapping to musical actions in the FILTER system,https://www.nime.org/proc/nort2012/index.html ,,,,NIME,2012,"In this paper we discuss aspects of our work in develop-ing performance systems that are geared towards human-machine co-performance with a particular emphasis on improvisation. We present one particular system, FILTER, which was created in the context of a larger project related to artificial intelligence and performance, and has been tested in the context of our electro-acoustic performance trio. We discuss how this timbrally rich and highly non-idiomatic musical context has challenged the design of the system, with particular emphasis on the mapping of machine listening parameters to higher-level behaviors of the system in such a way that spontaneity and creativity are encouraged while maintaining a sense of novel dialogue.","Doug Van Nort, Jonas Braasch, and Pauline Oliveros",
Towards a Human-Centric Design Framework for AI Assisted Music Production,https://www.nime.org/proc/nime20_78/index.html ,,,,NIME,2020,"In this paper, we contribute to the discussion on how to best design human-centric MIR tools for live audio mixing by bridging the gap between research on complex systems, the psychology of automation and the design of tools that support creativity in music production. We present the design of the Channel-AI, an embedded AI system which performs instrument recognition and generates parameter settings suggestions for gain levels, gating, compression and equalization which are specific to the input signal and the instrument type. We discuss what we believe to be the key design principles and perspectives on the making of intelligent tools for creativity and for experts in the loop. We demonstrate how these principles have been applied to inform the design of the interaction between expert live audio mixing engineers with the Channel-AI (i.e. a corpus of AI features embedded in the Midas HD Console. We report the findings from a preliminary evaluation we conducted with three professional mixing engineers and reflect on mixing engineersâ comments about the Channel-AI on social media.","Augoustinos Tsiros, and Alessandro Palladini",
ExSampling: a system for the real-time ensemble performance of field-recorded environmental sounds,https://www.nime.org/proc/nime20_58/index.html ,,,,NIME,2020,"We propose ExSampling: an integrated system of recording application and Deep Learning environment for a real-time music performance of environmental sounds sampled by field recording. Automated sound mapping to Ableton Live tracks by Deep Learning enables field recording to be applied to real-time performance, and create interactions among sound recorder, composers and performers.","Atsuya Kobayashi, Reo Anzai, and Nao Tokui",
Crowd-driven Music: Interactive and Generative Approaches using Machine Vision and Manhattan,https://www.nime.org/proc/nime20_49/index.html ,,,,NIME,2020,"This paper details technologies and artistic approaches to crowd-driven music, discussed in the context of a live public installation in which activity in a public space (a busy railway platform) is used to drive the automated composition and performance of music. The approach presented uses realtime machine vision applied to a live video feed of a scene, from which detected objects and people are fed into Manhattan (Nash, 2014), a digital music notation that integrates sequencing and programming to support the live creation of complex musical works that combine static, algorithmic, and interactive elements. The paper discusses the technical details of the system and artistic development of specific musical works, introducing novel techniques for mapping chaotic systems to musical expression and exploring issues of agency, aesthetic, accessibility and adaptability relating to composing interactive music for crowds and public spaces. In particular, performances as part of an installation for BBC Music Day 2018 are described. The paper subsequently details a practical workshop, delivered digitally, exploring the development of interactive performances in which the audience or general public actively or passively control live generation of a musical piece. Exercises support discussions on technical, aesthetic, and ontological issues arising from the identification and mapping of structure, order, and meaning in non-musical domains to analogous concepts in musical expression. Materials for the workshop are available freely with the Manhattan software.",Chris Nash,
Brainwaves-driven Effects Automation in Musical Performance,https://www.nime.org/proc/nime20_105/index.html ,,,,NIME,2020,"A variety of controllers with multifarious sensors and functions have maximized the real time performers control capabilities. The idea behind this project was to create an interface which enables the interaction between the performers and the effect processor measuring their brain waves amplitudes, e.g., alpha, beta, theta, delta and gamma, not necessarily with the userâs awareness. We achieved this by using an electroencephalography (EEG) sensor for detecting performerâs different emotional states and, based on these, sending midi messages for digital processing units automation. The aim is to create a new generation of digital processor units that could be automatically configured in real-time given the emotions or thoughts of the performer or the audience. By introducing emotional state information in the real time control of several aspects of artistic expression, we highlight the impact of surprise and uniqueness in the artistic performance.","Giorgos Filandrianos, Natalia Kotsani, Edmund G Dervakos, Giorgos Stamou, Vaios Amprazis, and Panagiotis Kiourtzoglou",
Designing Percussive Timbre Remappings: Negotiating Audio Representations and Evolving Parameter Spaces,https://www.nime.org/proc/nime2025_66/index.html ,,,,NIME,2025,"Timbre remapping is an approach to audio-to-synthesizer parameter mapping that aims to transfer timbral expressions from a source instrument onto synthesizer controls. This process is complicated by the ill-defined nature of timbre and the complex relationship between synthesizer parameters and their sonic output. In this work, we focus on real-time timbre remapping with percussion instruments, combining technical development with practice-based methods to address these challenges. As a technical contribution, we introduce a genetic algorithm - applicable to black-box synthesizers including VSTs and modular synthesizers - to generate datasets of synthesizer presets that vary according to target timbres. Additionally, we propose a neural network-based approach to predict control features from short onset windows, enabling low-latency performance and feature-based control. Our technical development is grounded in musical practice, demonstrating how iterative and collaborative processes can yield insights into open-ended challenges in DMI design. Experiments on various audio representations uncover meaningful insights into timbre remapping by coupling data-driven design with practice-based reflection. This work is accompanied by an annotated portfolio, presenting a series of musical performances and experiments with reflections.","Jordie Shier, Rodrigo Constanzo, Charalampos Saitis, Andrew Robertson, and Andrew McPherson",
Live Improvisation with Fine-Tuned Generative AI: A Musical Metacreation Approach,https://www.nime.org/proc/nime2025_54/index.html ,,,,NIME,2025,"This paper presents a pipeline to integrate a fine-tuned open-source text-to-audio latent diffusion model into a workflow with Ableton Live for the improvisation of contemporary electronic music. The system generates audio fragments based on text prompts provided in real time by the performer, enabling dynamic interaction. Guided by Musical Metacreation as a framework, this case study reframes generative AI as a co-creative agent rather than a mere style imitator. By fine-tuning Stable Audio Open on a dataset of the first authorâs compositions and field recordings, this approach demonstrates the ethical and practical benefits of open-source solutions. Beyond showcasing the modelâs creative potential, this study highlights the modelâs significant challenges and the need for democratized tools with real-world applications.","Misagh Azimi, and Mo H. Zareei",
"Evolving the Living Looper: Artistic Research, Online Learning, and Tentacle Pendula",https://www.nime.org/proc/nime2025_36/index.html ,,,,NIME,2025,"The Living Looper is a neural audio synthesis looper system for live input. It combines online learning with pre-trained neural network models to resynthesize incoming audio into ""living loops"" that transform over time. This paper describes new features of the Living Looper and musician perspectives on its use. A new graphical interface facilitates use of the instrument by non-programmers and visualizes each loop to aid performers in tracking which loop is making which sound. We also describe a new living loop algorithm including incremental learning with partial least squares regression. Finally, we report on an artistic project using the Looper and lessons learned, resulting in an increased importance of training data and a developing sense of relationality.","Victor Shepardson, Halla Steinunn StefÃ¡nsdÃ³ttir, and Thor Magnusson",
Repurposing a Rhythm Accompaniment System for Pipe Organ Performance,https://www.nime.org/proc/nime2025_16/index.html ,,,,NIME,2025,"This paper presents an overview of a human-machine collaborative musical performance by RaÃ¼l Refree utilizing multiple MIDI-enabled pipe organs at Palau GÃ¼ell, as part of the Organic concert series. Our earlier collaboration focused on live performances using drum generation systems, where generative models captured rhythmic transient structures while ignoring harmonic information. For the organ performance, we required a system capable of generating harmonic sequences in real-time, conditioned on Refree's performance. Instead of developing a comprehensive state-of-the-art model, we integrated a more traditional generative method to convert our pitch-agnostic rhythmic patterns into harmonic sequences. This paper details the development process, the creative and technical considerations behind the final performance, and a reflection on the efficacy and adaptability of the chosen methodology.","Nicholas Evans, Behzad Haki, and Sergi JordÃ",
TungnaÃ¡: a Hyper-realistic Voice Synthesis Instrument for Real-Time Exploration of Extended Vocal Expressions,https://www.nime.org/proc/nime2024_78/index.html ,,,,NIME,2024,"This demo showcases TungnaÃ¡, a new voice synthesis system and software instrument for real-time musical exploration of ""Deep Voice Synthesis"". The design of TungnaÃ¡ emphasizes real-time interaction and customization, enabling artists to manipulate various aspects of the synthesis process and to explore aesthetic artefacts unique to autoregressive neural synthesis. The synthesis engine achieves real-time streaming generation of paralinguistic and extended forms of vocal expression, while controlling them using symbolic text notations drawn from the entire unicode character set, allowing for the creation of new notation systems. The interface provides visual display and mouse- or OSC-controllable interventions into the machine vocalisations. The demo showcases TungnaÃ¡ on a laptop with headphones and a MIDI controller, allowing participants to explore the instrument via both a textual and physical interface.","Victor Shepardson, Jonathan Reus, and Thor Magnusson",
Improvise+=Chain: Listening to the Ensemble Improvisation of an Autoregressive Generative Model,https://www.nime.org/proc/nime2023_94/index.html ,,,,NIME,2023,"This paper describes Improvise+=Chain, an audio-visual installation artwork of autonomous musical performance using artificial intelligence technology. The work is designed to provide the audience with an experience exploring the differences between human and AI-based virtual musicians. Using a transformer decoder, we developed a four-track (melody, bass, chords and accompaniment, and drums) symbolic music generation model. The model generates each track in real time to create an endless chain of phrases, and 3D visuals and LED lights represent the attention information between four tracks, i.e., four virtual musicians, calculated within the model. This work aims to highlight the differences for viewers to consider between humans and artificial intelligence in music jams by visualizing the only information virtual musicians can communicate with while humans interact in multiple modals during the performance.","Atsuya Kobayashi, Ryo Nishikado, and Nao Tokui",
SnakeSynth: New Interactions for Generative Audio Synthesis,https://www.nime.org/proc/nime2023_90/index.html ,,,,NIME,2023,"I present ""SnakeSynth,"" a web-based lightweight audio synthesizer that combines audio generated by a deep generative model and real-time continuous two-dimensional (2D) input to create and control variable-length generative sounds through 2D interaction gestures. Interaction gestures are touch and mobile-compatible and made with analogies to strummed, bowed, brushed, and plucked musical instrument controls. Point-and-click and drag-and-drop gestures directly control audio playback length and intensity. I show that I can modulate sound length and intensity by interacting with a programmable 2D grid and leveraging the speed and ubiquity of web browser-based audio and hardware acceleration to generate time-varying high-fidelity sounds with real-time interactivity. SnakeSynth adaptively reproduces and interpolates between sounds encountered during model training, notably without long training times, and I briefly discuss possible futures for deep generative models as an interactive paradigm for musical expression.",Eric Easthope,
Rethinking Reflexive Looper for structured pop music,https://www.nime.org/proc/mmarchini2017/index.html ,,,,NIME,2017,"Reflexive Looper (RL) is a live-looping system which allows a solo musician to incarnate the different roles of a whole rhythm section by looping rhythms, chord progressions, bassline and more. The loop pedal, is still the most used device for those types of performances, accounting for many of the cover songs performances on youtube, but not all kinds of song apply. Unlike a common loop pedal, each layer of sound in RL is produced by an intelligent looping-agent which adapts to the musician and respects given constraints, using constrained optimization. In its original form, RL worked well for jazz guitar improvisation but was unsuited to structured music such as pop songs. In order to bring the system on pop stage, we revisited the system interaction, following the guidelines of professional users who tested it extensively. We describe the revisited system which can accommodate both pop and jazz. Thanks to intuitive pedal interaction and structure-constraints, the new RL deals with pop music and has been already used in several in live concert situations.","Marco Marchini, FranÃ§ois Pachet, and BenoÃ®t CarrÃ©",
SoundGrasp : A Gestural Interface for the Performance of Live Music,https://www.nime.org/proc/mitchell2011/index.html ,,,,NIME,2011,"This paper documents the first developmental phase of aninterface that enables the performance of live music usinggestures and body movements. The work included focuseson the first step of this project: the composition and performance of live music using hand gestures captured using asingle data glove. The paper provides a background to thefield, the aim of the project and a technical description ofthe work completed so far. This includes the developmentof a robust posture vocabulary, an artificial neural networkbased posture identification process and a state-based system to map identified postures onto a set of performanceprocesses. The paper is closed with qualitative usage observations and a projection of future plans.","Thomas Mitchell, and Imogen Heap",
An Interactive Musical Prediction System with Mixture Density Recurrent Neural Networks,https://www.nime.org/proc/martin2019/index.html ,,,,NIME,2019,"This paper is about creating digital musical instruments where a predictive neural network model is integrated into the interactive system. Rather than predicting symbolic music (e.g., MIDI notes), we suggest that predicting future control data from the user and precise temporal information can lead to new and interesting interactive possibilities. We propose that a mixture density recurrent neural network (MDRNN) is an appropriate model for this task. The predictions can be used to fill-in control data when the user stops performing, or as a kind of filter on the user's own input. We present an interactive MDRNN prediction server that allows rapid prototyping of new NIMEs featuring predictive musical interaction by recording datasets, training MDRNN models, and experimenting with interaction modes. We illustrate our system with several example NIMEs applying this idea. Our evaluation shows that real-time predictive interaction is viable even on single-board computers and that small models are appropriate for small datasets.","Charles Patrick Martin, and Jim Torresen",
"Integrating HyperInstruments , Musical Robots & Machine Musicianship for North Indian Classical Music",https://www.nime.org/proc/kapur2007/index.html ,,,,NIME,2007,"This paper describes a system enabling a human to perform music with a robot in real-time, in the context of North Indian classical music. We modify a traditional acoustic sitar into a hyperinstrument in order to capture performance gestures for musical analysis. A custom built four-armed robotic Indian drummer was built using a microchip, solenoids, aluminum and folk frame drums. Algorithms written towards ""intelligent"" machine musicianship are described. The final goal of this research is to have a robotic drummer accompany a professional human sitar player live in performance.","Ajay Kapur, Eric Singer, Manjinder S. Benning, George Tzanetakis, and Trimpin Trimpin",
Improvised Duet Interaction: Learning Improvisation Techniques for Automatic Accompaniment,https://www.nime.org/proc/gxia2017/index.html ,,,,NIME,2017,"The interaction between music improvisers is studied in the context of piano duets, where one improviser embellishes a melody, and the other plays a chordal accompaniment with great freedom. We created an automated accompaniment player that learns to play from example performances. Accompaniments are constructed by selecting and concatenating one-measure score units from actual performances. An important innovation is the ability to learn how the improvised accompaniment should respond to variations in the melody performance, using tempo and embellishment complexity as features, resulting in a truly interactive performance within a conventional musical framework. We conducted both objective and subjective evaluations, showing that the learned improviser performs more interactive, musical, and human-like accompaniment compared with the less responsive, rule-based baseline algorithm.","Guangyu Xia, and Roger Dannenberg",
Wearable Interfaces for Cyberphysical Musical Expression,https://www.nime.org/proc/godbehere2008/index.html ,,,,NIME,2008,"We present examples of a wireless sensor network as applied to wearable digital music controllers. Recent advances in wireless Personal Area Networks (PANs) have precipitated the IEEE 802.15.4 standard for low-power, low-cost wireless sensor networks. We have applied this new technology to create a fully wireless, wearable network of accelerometers which are small enough to be hidden under clothing. Various motion analysis and machine learning techniques are applied to the raw accelerometer data in real-time to generate and control music on the fly.","Andrew B. Godbehere, and Nathan J. Ward",
Music for Flesh II: informing interactive music performance with the viscerality of the body system,https://www.nime.org/proc/donnarumma2012/index.html ,,,,NIME,2012,"Performing music with a computer and loudspeakers represents always a challenge. The lack of a traditional instrument requires the performer to study idiomatic strategies by which musicianship becomes apparent. On the other hand, the audience needs to decode those strategies, so to achieve an understanding and appreciation of the music being played. The issue is particularly relevant to the performance of music that results from the mediation between biological signals of the human body and physical performance. The present article tackles this concern by demonstrating a new model of musical performance; what I define biophysical music. This is music generated and played in real time by amplifying and processing the acoustic sound of a performer's muscle contractions. The model relies on an original and open source technology made of custom biosensors and a related software framework. The succesfull application of these tools is discussed in the practical context of a solo piece for sensors, laptop and loudspeakers. Eventually, the compositional strategies that characterize the piece are discussed along with a systematic description of the relevant mapping techniques and their sonic outcome.",Marco Donnarumma,
Musical Exoskeletons : Experiments with a Motion Capture Suit,https://www.nime.org/proc/collins2010a/index.html ,,,,NIME,2010,"Gaining access to a prototype motion capture suit designedby the Animazoo company, the Interactive Systems groupat the University of Sussex have been investigating application areas. This paper describes our initial experimentsin mapping the suit control data to sonic attributes for musical purposes. Given the lab conditions under which weworked, an agile design cycle methodology was employed,with live coding of audio software incorporating fast feedback, and more reflective preparations between sessions, exploiting both individual and pair programming. As the suitprovides up to 66 channels of information, we confront achallenging mapping problem, and techniques are describedfor automatic calibration, and the use of echo state networksfor dimensionality reduction.","Nick Collins, Chris Kiefer, Zeeshan Patoli, and Martin White",
BRAAHMS: A Novel Adaptive Musical Interface Based on Users' Cognitive State,https://www.nime.org/proc/byuksel2015/index.html ,,,,NIME,2015,"We present a novel brain-computer interface (BCI) integrated with a musical instrument that adapts implicitly (with no extra effort from user) to users' changing cognitive state during musical improvisation. Most previous musical BCI systems use either a mapping of brainwaves to create audio signals or use explicit brain signals to control some aspect of the music. Such systems do not take advantage of higher level semantically meaningful brain data which could be used in adaptive systems or without detracting from the attention of the user. We present a new type of real-time BCI that assists users in musical improvisation by adapting to users' measured cognitive workload implicitly. Our system advances the state of the art in this area in three ways: 1) We demonstrate that cognitive workload can be classified in real-time while users play the piano using functional near-infrared spectroscopy. 2) We build a real-time, implicit system using this brain signal that musically adapts to what users are playing. 3) We demonstrate that users prefer this novel musical instrument over other conditions and report that they feel more creative.","Beste Filiz Yuksel, Daniel Afergan, Evan Peck, Garth Griffin, Lane Harrison, Nick Chen, Remco Chang, and Robert Jacob",
When Counterpoint Meets Chinese Folk Melodies,https://papers.nips.cc/paper_files/paper/2020/hash/bae876e53dab654a3d9d9768b1b7b91a-Abstract.html ,,,,NeurIPS,2020,"Counterpoint is an important concept in Western music theory. In the past century, there have been significant interests in incorporating counterpoint into Chinese folk music composition. In this paper, we propose a reinforcement learning-based system, named FolkDuet, towards the online countermelody generation for Chinese folk melodies. With no existing data of Chinese folk duets, FolkDuet employs two reward models based on out-of-domain data, i.e. Bach chorales, and monophonic Chinese folk melodies. An interaction reward model is trained on the duets formed from outer parts of Bach chorales to model counterpoint interaction, while a style reward model is trained on monophonic melodies of Chinese folk songs to model melodic patterns. With both rewards, the generator of FolkDuet is trained to generate countermelodies while maintaining the Chinese folk style. The entire generation process is performed in an online fashion, allowing real-time interactive human-machine duet improvisation. Experiments show that the proposed algorithm achieves better subjective and objective results than the baselines.","Nan Jiang, Sheng Jin, Zhiyao Duan, Changshui Zhang",
Toward Real-Time Recognition of Instrumental Playing Techniques for Mixed Music: A Preliminary Analysis,https://hal.science/hal-04263718/file/Toward_Real_Time_Recognition_of_Instrumental_Playing_Techniques_for_Mixed_Music__A_Preliminary_Analysis_camera-ready.pdf,,,,ICMC,2023,"In contemporary mixed music, real-time digital sound processing is often applied to live instrumental performances. However, switching between sound effects often relies on manual computer operation or the performer’s foot pedal, burdening the operator. This research aims to develop a system that automatically classifies instrument playing techniques and switches sound effects according to the result of the classification, reducing the burden on the operator and expanding creative possibilities in contemporary mixed music. To realize such a system, the classification accuracy of existing research is not sufficient. In this study, we focused on the flute and tested various input data formats to improve the accuracy of the classification. The results show that using a number of frames of around 15 with the Log-Mel-Spectrogram (LMS) data format improves accuracy. Furthermore, we have measured the computational times of some classification algorithms to assure that the system can actually be used in real time. We found that Multi-Layer Perceptron (MLP) with LMS data format was the best choice among them because it had high accuracy and was fast enough, while other algorithms had concerns about computational speed","Nicolas Brochec, Tsubasa Tanaka",
The New StochGran: Expanded Stochastic Granular Synthesis Tools,https://drive.google.com/file/d/1aqgqYWbB1tgwU7ulXZguvKgcCO7VeCM8/view?usp=drive_link,,,,ICMC,2023,"Kieran McAuliffe and Mara Helmuth have updated and expanded previous granular synthesis software instruments in the RTcmix music programming language and created MaxMSP externals for a new interface. The original nonreal-time Cmix instruments by Helmuth allowed composers to create complex, changing timbres by specifying moving stochastic distributions of grains. The new instruments allow for much finer and real-time control of these distributions. This paper also introduces the multi-channel RTcmix instrument which generates stochastic grain clouds in up to 16 channels. In addition, two MaxMSP externals, based on the Cmix instruments, have been programmed for synthesis and sampling, with an expanded graphical user interface replacing the previous StochGran application. These tools provide expanded control options and facilitate more flexible and powerful performances and improvisations. Finally, compositions showcasing the new possibilities of the software are discussed, including McAuliffe's Jealousy…guilt, in eight channels, and Helmuth's Slither, Bursty Splat for laptop ensemble.","Kieran McAuliffe, Mara Helmuth",
LEM: a sound object that performs Live Electronic Music and proposes a new way to compose and distribute music,https://www.fulcrum.org/epubs/8910jx22c?locale=en#page=181,,,,ICMC,2022,"Since the invention of the phonograph the majority of the musical releases are made in such a way that same audio at every playback is executed. With this work I propose a sound object (Live Electronic Music: LEM) that is programmed to interpret the musical piece, always with a different variation at every iteration. LEM is a stand-alone, iterative composition device. A small plastic box houses a single board computer running an algorithm that plays random audio samples selected from a sample bank. Further, the algorithm is programmed to alter the variables of the audio filters randomly and in random instances, within defined limits. This flexibility is an important compositional factor as the decision, with this practice, is not single and concrete (i.e., the composer specifically determines the way for the piece to be played) but probabilistic (i.e., the composer determines the likelihood of more than one way for the piece to be played, as in aleatoric music). This work proposes a new way of music distribution shaping the way a composer makes a decision, and the audience perceives live and prerecorded music. The piece reveals itself endlessly, exposing new dimensions and dynamics drawn from a table of acoustic elements",Spyros Polychronopoulos,
MYtrOmbone: exploring gesture controlled live electronics in solo trombone performance,https://www.open-access.bcu.ac.uk/14157/1/MYtrOmbone-2020-FINAL-1.2.pdf,,,,ICMC,2021,"MYtrOmbone is an interactive system that allows a trombonist to manipulate live electronic audio processing by analysis of the slide position engaged. The system is designed and developed at Integra Lab using an IMU prosthetic (Thalmic Labs Myo armband) worn on the right forearm as a control device. MyoMapper software translates armband data to OSC messages, and a Neural Network machine learning system detects trombone positions from the incoming OSC data. These positions are then mapped to audio signal processing in the Integra Live software that is controlled by the trombonist. This paper presents the musical context that has led to the development of the system, outlining the way that the system works and its application within the first piece composed for it, 146 Lucina. Finally, we suggest further work to develop and refine the system in the future","James Dooley, Simon Hall",
Generate or Search: Na¨ıve Search Can Augment Piano Improvisation Experiences of Novice Players,https://drive.google.com/file/d/11ijp44Zm4TLHWy7l7Bhtu6jiHRWZTF2C/view?usp=drive_link,,,,ICMC,2021,"Deep learning techniques have great potential to augment human skills computationally; for example, it is possible to develop a piano that offers novice players a playing experience of being like a skillful pianist by automatically enhancing their performances. However, we also suspect that the employment of automatic generation based on deep learning does not always lead to the best outcome. In this study, for the purpose of popularizing the enjoyment of improvisation experiences, we compared two piano-based interactive systems that rely on deep-learning-based note generation and search-and-replay approaches respectively. More specifically, the latter system takes a player’s context into account, searching a dataset containing numerous piano performances for a related performance. It then simply replays a performance excerpt for a short time instead of using automatic generation. Interestingly, our user study, conducted at a public music event, suggested that the search-and-replay approach offers players an improvisation experience that is comparable or, in some aspects, better. Our discussion based on the results presents implications for designing interactive systems for computationally augmenting the skills of novice players.",Hiromu Yakura,
Drumductor: A Gesture-Augmented Drum Pattern Generator,https://www.fulcrum.org/epubs/9880vt18d?locale=en#page=412 ,,,,ICMC,2019,"In this paper we introduce the drumductor which combines hand gesture tracking, machine learning, and a drum pattern prototype software to generate and control drum patterns in real-time. Drumductor aims to provide an alternative way to create and interact with synthetically generated drum sequences where predefined drum patterns, fills, and single drum hits can be“conducted” rather than fully performed or fully sequenced. The drumductor system can be utilised in widely-used digital audio workstation (DAW) environments as well as in live performance settings where users are provided with a blended drum pattern generator tool for generating drum patterns","Xianda Wang, Tae Hong Park",
Imitation Game: Real-time Decision-making in an Inter- active Composition for Human and Robotic Percussionist,https://interagency.iem.at/pdfs/Gioti_ICMC2019.pdf,,,,ICMC,2019,"This paper describes an interactive composition for human and robotic percussionist exploring decision-making processes in the context of composed interaction scenarios. The composition is based on a dynamic form, shaped by decisions made by the musician and the robotic percussionist in real-time. Using a Neural Network trained to recognize different instruments and playing techniques, the robotic percussionist makes long-term decisions based on metrics of musical contrast. Similarly, the musician interprets a non-linear score, which enables him/her to interact with the robotic percussionist in realtime. The paper describes various components of the system, including the auditory processing and decisionmaking stage, and introduces a framework for artistic experimentation borrowing evaluation methods from human-computer improvisation.",Artemi - Maria Gioti,
Proposal of Score-Following Reflecting Gaze Information on Cost of DP matching,https://quod.lib.umich.edu/i/icmc/bbp2372.2017.022/--proposal-of-score-following-reflecting-gaze-information?view=image,,,,ICMC,2017,"The goal of our study is to build a score-following system employing keying information and gaze information. A score-following system, which estimates the user’s current performance position on a musical score, is one of the fundamental technologies of real-time computer accompaniment. Conventional score-following systems have estimated the current performance position based only on keying information. However, this is difficult to do with a high degree of accuracy in the case where the player starts playing from a point on the score which is different from the previous performance position, and performs from a score including repeated phrases. In such cases errors and delays occur in score-following. Therefore, the proposed system solves this problem by using not only keying information but also gaze information, which the expresses the player’s thought. This research deals with the technical problems of reducing noise (interference) of gaze and reflecting gaze information. Therefore, noise is reduced by creating a model (gaze model) that predicts gaze movement by HMM. Also, we realize score-following which is not affected by errors, by reflecting the gaze likelihood calculated from the gaze model in the cost of DP matching.","Shiori Terasaki, Yoshinari Takegawa, Keiji Hirata",
InMuSIC: an Interactive Multimodal System for Electroacoustic Improvisation,https://quod.lib.umich.edu/i/icmc/bbp2372.2016.001/1/--inmusic-an-interactive-multimodal-system-for-electroacoustic?page=root;size=150;view=pdf,https://dl.acm.org/doi/10.1145/2757226.2757375 ,,,ICMC,2016,InMuSIC is an Interactive Musical System (IMS) designedfor electroacoustic improvisation (clarinet and live electronics). The system relies on a set of musical interactions based on the multimodal analysis of the instrumentalist’s behaviour: observation of embodied motion qualities (upper-body motion tracking) and sonic parameters(audio features analysis). Expressive cues are computedat various levels of abstraction by comparing the multimodal data. The analysed musical information organisesand shapes the sonic output of the system influencing various decision-making processes. The procedures outlinedfor the real-time organisation of the electroacoustic materials intend to facilitate the shared development of bothlong-term musical structures and immediate sonic interactions. The aim is to investigate compositional and performative strategies for the establishment of a musical collaboration between the improviser and the system.,Giacomo Lepri,
AIIS: An Intelligent Improvisational System,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://quod.lib.umich.edu/cgi/p/pod/dod-idx/aiis-an-intelligent-improvisational-system.pdf%3Fc%3Dicmc%3Bidno%3Dbbp2372.2016.084%3Bformat%3Dpdf&ved=2ahUKEwiu2Yf8jsiPAxUjIkQIHew9DxEQFnoECBgQAQ&usg=AOvVaw0XVo6rmgcveD3yfnPVmhPy,,,,ICMC,2016,"The modern use of electronic sound in live performance (whether by instrument or composed processing) has continued to give rise to new explorations in its implementation. With the construction of Aiis, we sought to build an interactive performance system which allows for musical improvisation between a live performer and a computer generated sound world based on feedback between these components. Implemented in Pure Data, the system’s micro and macro decisions generate a programmable musical ”personality” derived from probabilistic measures in reaction to audio input. The system’s flexibility allows factors to be modified in order to make wholly new and original musical personalities.","Steven Leffue, Grady Kestler",
"Notes on “Culture of Fire” for Analog Neural Network Synthesizer, Geiger Muller Counters and Computer",https://quod.lib.umich.edu/i/icmc/bbp2372.2015.070/--notes-on-culture-of-fire-for-analog-neural-network?view=image,,,,ICMC,2015,The “Culture of Fire” is an ongoing live performance piece constructed of residue from a project that was started by David Tudor and others to turn INTEL’s now defunct Electronically Trainable Analog Neural Net (ETANN) into a music synthesizer. A secondary layer of “control” in the live performance of the piece is that Geiger Muller Tube triggers are used as the source of actuation and location distribution of sonic events.,Scot Gresham-Lancaster,
“There is pleasure...”: An Improvisation Using the AAIM Performance System,https://quod.lib.umich.edu/cgi/p/pod/dod-idx/there-is-pleasure-an-improvisation-using-the-aaim.pdf?c=icmc;idno=bbp2372.2015.083,,,,ICMC,2015,"This paper will present AAIM, an algorithmic performance system designed to facilitate performance and improvisation of electronic music through the variation of precomposed materials at a micro level. It is the author’s belief that such an approach allows performers to freely focus on larger macro elements of the work such as the form, texture, timbre, and spatialisation, while still incorporating complex variations at the micro level of triggering individual sound events. In addition to presenting the AAIM system, this paper will also discuss “There is pleasure...”, a variable form improvisation in the Electroacoustic idiom performed using the AAIM system. “There is pleasure...” provides a framework within which the performer is free to explore the capabilities of both the AAIM system and the FM synthesis engine used throughout the performance. A further goal of the improvisation is to explore new ways of approaching techniques such as Frequency Modulation and regular pulse within electroacoustic music.",Simon Fay,
